Name,Overall_Rating,Cuisine,Rate for two,City,Review
Alora Cafe & Patisserie,3.2,"Cafe, Coffee, Shake, Beverages, Burger, Fast Food, Chinese, Desserts","1,100",jaipur,really a great place with great ambience must try there food worth everz penny to dine in for 
Alora Cafe & Patisserie,3.2,"Cafe, Coffee, Shake, Beverages, Burger, Fast Food, Chinese, Desserts","1,100",jaipur,food was graet and delicious must try 
Alora Cafe & Patisserie,3.2,"Cafe, Coffee, Shake, Beverages, Burger, Fast Food, Chinese, Desserts","1,100",jaipur,Very nice and great place Indian food is really good Must visit with fends & family 100% recommended
The Messy Door Cafe,3.6,"Cafe, Fast Food, Italian, Continental, Sandwich, Pizza, Street Food, Beverages","1,000",jaipur,Too much artificial flavouring used and felt so acidic in a bad way.
The Messy Door Cafe,3.6,"Cafe, Fast Food, Italian, Continental, Sandwich, Pizza, Street Food, Beverages","1,000",jaipur,it was too bland and dry. pita wasn't cooked evenly and properly. not enough hummus for the portion. 
Brown Sugar,4.2,"Cafe, Beverages, Bakery, Desserts, Italian, Chinese, Fast Food",500,jaipur,Cake deliver in very bad condition
Brown Sugar,4.2,"Cafe, Beverages, Bakery, Desserts, Italian, Chinese, Fast Food",500,jaipur,good but take lot of  time 
Brown Sugar,4.2,"Cafe, Beverages, Bakery, Desserts, Italian, Chinese, Fast Food",500,jaipur,items missing in order. extremely ridiculous service from restaurant 
Jashn,3.9,"Cafe, Coffee, Fast Food, Street Food, North Indian, Chinese, Desserts, Beverages",500,jaipur,"Totally in love with this place. The ambience is soo good and really aesthetically pleasing, service is fast and food is soo good. Pizza and corn sandwich is a must try here. Also they have beautiful outdoor sitting that is really cool. Must visit place and i recommend to all ."
Jashn,3.9,"Cafe, Coffee, Fast Food, Street Food, North Indian, Chinese, Desserts, Beverages",500,jaipur,"This is my 2nd visit at jashn . And this time I had more great experience with this cafe . We love their food , ambience etc  we ordered veg grill sandwich , cold coffee, OTC Pizza, veg chowmein  and every single item was super yummy ."
Jashn,3.9,"Cafe, Coffee, Fast Food, Street Food, North Indian, Chinese, Desserts, Beverages",500,jaipur,"This place gives you heritage vibe, beautiful ambiance both indoor and outdoor. Food taste is really good and prices are surprisingly reasonable with this good ambiance. Must try hara bhara kabab and Italian Rolls."
Jashn,3.9,"Cafe, Coffee, Fast Food, Street Food, North Indian, Chinese, Desserts, Beverages",500,jaipur,"The absolute best. Weather on Pizza or Pasta, it’s honestly delicious. Portions are huge and the staff is extremely friendly and courteous."
Aakraa House,3.8,"Cafe, Coffee, Shake, Chinese, Sandwich, Fast Food, Momos, Desserts",700,jaipur,"Totally disappointed with the food delivered, there is no chilli in chilli garlic bread, would never order from such fraud place, they have posted fake pictures & charging wrongly "
Aakraa House,3.8,"Cafe, Coffee, Shake, Chinese, Sandwich, Fast Food, Momos, Desserts",700,jaipur,poor taste
Starstud Cafe,4,"Cafe, Fast Food, Burger, Sandwich, Street Food, Desserts, Beverages",700,jaipur,"This place is budget friendly and perfect for kitty and bdy parties for students also .Food and taste was good tried white sauce pasta , pizza , shakes , mocktails and many more here my experience with food is really good. You should definitely visit once and must try their custured and brownie 😍❤️ambiance is good and they have free Disc also "
Starstud Cafe,4,"Cafe, Fast Food, Burger, Sandwich, Street Food, Desserts, Beverages",700,jaipur,"It’s a great experience. The ambiance is very welcoming and charming. Amazing food and service. Staff are extremely knowledgeable and make great recommendations. Must try there hakka noodles , pasta , honey chilli , brownie shake , sandwich."
Starstud Cafe,4,"Cafe, Fast Food, Burger, Sandwich, Street Food, Desserts, Beverages",700,jaipur,"amazing place😍, I totally loved this place💕,all things are superb, ambience is so beautiful , food was so so yumm❤️, services are too good , you can organise birthday and surprise parties here , highly recommended place😍✨"
